Tanggal,User,Hujan,Luas_Lahan,Jarak_Tanam,Jumlah_Pohon,Pupuk,Umur,Hasil_Prediksi
2026-05-09 19:30,user,0.1099999999999999,0.0099999999999999,0.07,10,0.0,0,1.3692079
2026-05-09 19:30,user,100.0,0.0099999999999999,0.07,200,0.0,8,0.6204141
2026-05-09 19:31,user,100.0,500.0,2.0,200,0.0,8,79.79381
2026-05-09 19:31,user,1000.0,500.0,2.0,200,0.0,8,45.432278
2026-05-09 19:31,user,1000.0,1000.0,1.98,200,0.0,8,85.01517
2026-05-09 19:49,user1,100.0,800.0,2.0,500,3.0,10,147.35707
2026-05-09 20:03,user1,481.0,1350.0,1.49,900,0.0,14,299.98697
2026-05-16 09:03,user3,0.0,0.0,0.0,10,0.0,0,1.8074123
2026-06-04 22:28,user,0.05,0.05,0.04,6,0.060000000000000005,5,1
2026-06-04 22:30,user,0.05,0.05,0.04,6,0.060000000000000005,5,1
